#{"t_start": 1644588046.7201111, "env_id": null}
r,l,t
1,1,0.042286
2,2,0.056989
3,3,0.064118
1,1,0.068338
1,1,0.073421
1,1,0.079031
3,3,0.092012
3,3,0.09787
1,1,0.101678
2,2,0.108636
2,2,0.114346
1,1,0.11811
2,2,0.123746
1,1,0.127553
2,2,0.133106
2,2,0.137949
3,3,0.146019
5,5,0.157098
3,3,0.166066
5,5,0.197233
4,4,0.206681
1,1,0.219808
3,3,0.235188
1,1,0.242317
2,2,0.25741
3,3,0.27187
2,2,0.276692
1,1,0.279579
3,3,0.287297
1,1,0.290638
1,1,0.297248
2,2,0.309879
2,2,0.31682
3,3,0.324113
6,6,0.338062
1,1,0.341645
5,5,0.353824
2,2,0.362349
1,1,0.36583
2,2,0.371575
1,1,0.374756
2,2,0.380337
2,2,0.385965
1,1,0.389497
4,4,0.398647
2,2,0.405892
1,1,0.413515
2,2,0.424811
4,4,0.450218
2,2,0.457079
1,1,0.460178
2,2,0.464424
2,2,0.469164
2,2,0.474688
1,1,0.484376
2,2,0.488749
3,3,0.494942
3,3,0.500954
1,1,0.503835
4,4,0.511372
1,1,0.514175
2,2,0.518445
2,2,0.522834
1,1,0.525904
3,3,0.534325
1,1,0.538741
2,2,0.54651
5,5,0.561498
2,2,0.566037
1,1,0.570113
1,1,0.573169
3,3,0.579511
1,1,0.582614
2,2,0.587345
3,3,0.595659
1,1,0.599061
2,2,0.603862
3,3,0.610617
2,2,0.615084
2,2,0.619441
1,1,0.624359
1,1,0.629623
2,2,0.635296
2,2,0.640735
1,1,0.644262
5,5,0.656014
1,1,0.659509
3,3,0.667125
7,7,0.694811
1,1,0.697583
1,1,0.700423
5,5,0.717965
2,2,0.723041
1,1,0.726412
1,1,0.729641
2,2,0.734073
2,2,0.738323
1,1,0.74126
1,1,0.744316
1,1,0.747104
4,4,0.754329
2,2,0.758615
2,2,0.763196
2,2,0.767483
3,3,0.773458
2,2,0.77807
5,5,0.786999
1,1,0.78978
2,2,0.794012
1,1,0.796753
3,3,0.802545
4,4,0.809844
2,2,0.81405
2,2,0.81838
1,1,0.821148
2,2,0.8255
2,2,0.831261
1,1,0.83537
2,2,0.841235
3,3,0.850946
1,1,0.857197
2,2,0.862816
2,2,0.868071
1,1,0.871254
1,1,0.874238
6,6,0.885079
1,1,0.88792
6,6,0.898371
1,1,0.902265
2,2,0.906659
1,1,0.909688
3,3,0.915411
2,2,0.920157
1,1,0.923231
3,3,0.929593
5,5,0.940183
2,2,0.94484
2,2,0.949591
2,2,0.955025
5,5,0.964453
2,2,0.970339
2,2,0.974713
1,1,0.97779
3,3,0.988362
1,1,0.993618
5,5,1.004763
1,1,1.00754
3,3,1.013546
1,1,1.016767
1,1,1.021626
1,1,1.024454
1,1,1.027655
5,5,1.038465
1,1,1.041285
1,1,1.044098
3,3,1.050298
1,1,1.053864
1,1,1.056641
3,3,1.062692
4,4,1.071701
1,1,1.074473
2,2,1.080158
3,3,1.087512
4,4,1.095861
2,2,1.100648
1,1,1.104518
3,3,1.113981
5,5,1.1331
2,2,1.138799
4,4,1.147826
1,1,1.151186
1,1,1.15455
2,2,1.161504
3,3,1.186778
2,2,1.195087
1,1,1.198335
4,4,1.210503
4,4,1.21955
3,3,1.22616
2,2,1.23101
4,4,1.239385
1,1,1.242152
1,1,1.244896
1,1,1.247652
5,5,1.256844
1,1,1.259638
1,1,1.262422
1,1,1.265204
4,4,1.272721
1,1,1.275496
2,2,1.279788
3,3,1.286494
2,2,1.291128
2,2,1.297282
3,3,1.309799
1,1,1.313122
1,1,1.315962
3,3,1.32205
2,2,1.326402
1,1,1.329207
1,1,1.332009
1,1,1.334746
1,1,1.337666
3,3,1.346971
8,8,1.365734
2,2,1.371788
1,1,1.375214
2,2,1.380476
5,5,1.391702
1,1,1.396694
3,3,1.412281
2,2,1.418256
4,4,1.433412
4,4,1.440695
1,1,1.443771
1,1,1.446798
11,11,1.464721
1,1,1.467654
1,1,1.470585
1,1,1.473319
1,1,1.476315
1,1,1.479117
1,1,1.481902
2,2,1.486178
1,1,1.488954
5,5,1.497913
1,1,1.501002
1,1,1.504328
1,1,1.507248
2,2,1.511808
1,1,1.514722
2,2,1.522001
1,1,1.526852
2,2,1.535458
2,2,1.541237
6,6,1.566605
1,1,1.570087
1,1,1.579504
1,1,1.583763
1,1,1.586666
1,1,1.590749
1,1,1.593681
2,2,1.598025
2,2,1.602399
2,2,1.606903
4,4,1.614116
3,3,1.620155
1,1,1.622925
5,5,1.633983
1,1,1.638554
1,1,1.647477
2,2,1.65642
1,1,1.661455
3,3,1.672044
2,2,1.677693
1,1,1.681311
2,2,1.709139
2,2,1.71485
1,1,1.718322
2,2,1.723063
1,1,1.725932
1,1,1.728721
1,1,1.73221
1,1,1.73585
2,2,1.741179
2,2,1.746092
2,2,1.75234
2,2,1.759947
2,2,1.765715
3,3,1.772804
2,2,1.777468
1,1,1.780516
2,2,1.784944
4,4,1.792701
2,2,1.797245
1,1,1.799991
1,1,1.802731
1,1,1.805502
2,2,1.80981
1,1,1.812863
2,2,1.817299
4,4,1.827819
3,3,1.835544
1,1,1.838838
1,1,1.842078
1,1,1.847565
3,3,1.855236
1,1,1.858608
3,3,1.866209
1,1,1.87058
1,1,1.875256
1,1,1.883565
1,1,1.894297
1,1,1.899026
2,2,1.904314
1,1,1.909842
3,3,1.922418
1,1,1.926568
4,4,1.936935
4,4,1.94651
2,2,1.950798
1,1,1.953554
1,1,1.957063
2,2,1.961529
2,2,1.966348
1,1,1.969153
2,2,1.973506
2,2,1.977784
1,1,1.980879
3,3,1.987429
2,2,1.992161
4,4,2.000106
1,1,2.002901
3,3,2.008989
6,6,2.019238
3,3,2.025233
6,6,2.03535
1,1,2.038186
2,2,2.042525
1,1,2.045428
2,2,2.04974
1,1,2.05252
1,1,2.055292
1,1,2.058266
1,1,2.061143
1,1,2.063992
3,3,2.069947
3,3,2.075752
1,1,2.078507
1,1,2.081716
1,1,2.084461
3,3,2.090668
1,1,2.093664
2,2,2.098345
1,1,2.101603
4,4,2.109732
1,1,2.112607
1,1,2.115343
1,1,2.118131
1,1,2.121345
1,1,2.124124
2,2,2.128551
1,1,2.131401
2,2,2.136049
1,1,2.138882
3,3,2.145307
2,2,2.149593
1,1,2.152919
4,4,2.160437
2,2,2.165137
3,3,2.170914
1,1,2.17366
1,1,2.176614
1,1,2.179519
1,1,2.182322
2,2,2.186577
4,4,2.193776
1,1,2.196562
2,2,2.200792
2,2,2.205022
1,1,2.208049
1,1,2.210877
1,1,2.21369
1,1,2.21648
1,1,2.219291
1,1,2.222053
2,2,2.226424
3,3,2.232362
2,2,2.236745
1,1,2.239583
1,1,2.242351
2,2,2.246675
3,3,2.252488
2,2,2.256729
3,3,2.26252
2,2,2.267199
1,1,2.270067
4,4,2.277493
1,1,2.28058
2,2,2.285388
2,2,2.290105
2,2,2.294575
5,5,2.303422
1,1,2.30623
1,1,2.308975
2,2,2.313632
10,10,2.330223
1,1,2.333063
2,2,2.342601
1,1,2.34782
2,2,2.35643
4,4,2.365512
2,2,2.370496
1,1,2.373302
2,2,2.377587
1,1,2.380371
6,6,2.391186
2,2,2.395591
4,4,2.403274
1,1,2.406075
1,1,2.408856
1,1,2.411621
1,1,2.414589
5,5,2.423532
1,1,2.426289
1,1,2.429066
1,1,2.432132
4,4,2.439567
3,3,2.445852
2,2,2.45023
1,1,2.453156
2,2,2.457774
1,1,2.461644
3,3,2.470653
1,1,2.474414
2,2,2.480922
4,4,2.502684
1,1,2.505524
3,3,2.511811
1,1,2.514635
1,1,2.517619
1,1,2.521017
1,1,2.525922
1,1,2.532545
2,2,2.537132
4,4,2.544802
1,1,2.547782
2,2,2.55204
2,2,2.557009
2,2,2.562097
1,1,2.564925
1,1,2.567712
1,1,2.570464
6,6,2.58113
1,1,2.58398
1,1,2.58672
2,2,2.591042
2,2,2.595301
2,2,2.599536
1,1,2.602329
2,2,2.606644
1,1,2.609411
2,2,2.613738
1,1,2.616491
1,1,2.619273
2,2,2.623531
2,2,2.627756
7,7,2.63965
2,2,2.643901
3,3,2.649629
4,4,2.657338
2,2,2.663106
3,3,2.670245
2,2,2.675346
1,1,2.679311
1,1,2.682676
1,1,2.686175
2,2,2.691457
2,2,2.696765
1,1,2.700104
2,2,2.70573
6,6,2.724355
1,1,2.727347
2,2,2.731636
1,1,2.734548
2,2,2.743621
1,1,2.747304
1,1,2.750153
1,1,2.753092
5,5,2.762128
1,1,2.765029
1,1,2.767929
1,1,2.771088
1,1,2.774208
1,1,2.777698
3,3,2.784508
1,1,2.787533
1,1,2.790625
2,2,2.79507
1,1,2.797821
6,6,2.808313
2,2,2.812566
3,3,2.818327
1,1,2.821141
1,1,2.823949
2,2,2.828402
2,2,2.832604
1,1,2.835399
2,2,2.839616
1,1,2.842521
2,2,2.847059
3,3,2.852798
3,3,2.858599
3,3,2.864346
1,1,2.867079
2,2,2.871286
2,2,2.876096
1,1,2.878879
1,1,2.881765
1,1,2.884794
1,1,2.887874
1,1,2.891088
1,1,2.894249
2,2,2.899104
2,2,2.903574
5,5,2.912366
4,4,2.919653
1,1,2.922438
6,6,2.932696
1,1,2.93543
5,5,2.944281
1,1,2.94706
1,1,2.949881
3,3,2.955555
2,2,2.959795
3,3,2.965671
1,1,2.968415
1,1,2.971166
1,1,2.973988
1,1,2.976751
1,1,2.979709
5,5,2.988662
1,1,2.991404
1,1,2.995044
1,1,2.997937
1,1,3.000999
2,2,3.0054
4,4,3.012825
1,1,3.01558
3,3,3.022781
1,1,3.027408
4,4,3.036779
1,1,3.039867
3,3,3.047372
1,1,3.050757
1,1,3.05399
3,3,3.061297
2,2,3.066815
1,1,3.074338
3,3,3.08031
1,1,3.083356
1,1,3.087205
5,5,3.098649
4,4,3.10771
1,1,3.110697
1,1,3.113614
1,1,3.116452
1,1,3.119271
2,2,3.123902
1,1,3.126692
5,5,3.135934
1,1,3.138859
1,1,3.1417
1,1,3.144557
1,1,3.14739
1,1,3.150282
4,4,3.157522
