,machine,reward,num_actions,max_RUL,slack,reward_estimate
0,1,-456,30,30,0,-15.2
1,2,33,33,48,15,0.69
2,3,17,17,125,108,0.14
3,4,38,38,105,67,0.36
4,5,32,32,97,65,0.33
5,6,15,15,104,89,0.14
6,7,10,10,159,149,0.06
7,8,39,39,165,126,0.24
8,9,-432,54,54,0,-8.0
9,10,17,17,191,174,0.09
10,11,22,22,82,60,0.27
11,12,38,38,216,178,0.18
12,13,101,101,194,93,0.52
13,14,8,8,45,37,0.18
14,15,3,3,75,72,0.04
15,16,25,25,112,87,0.22
16,17,4,4,164,160,0.02
17,18,60,60,132,72,0.45
18,19,45,45,134,89,0.34
19,20,1,1,183,182,0.01
20,21,25,25,147,122,0.17
21,22,7,7,38,31,0.18
22,23,121,121,129,8,0.94
23,24,21,21,185,164,0.11
24,25,-439,47,47,0,-9.34
25,26,44,44,75,31,0.59
26,27,103,103,139,36,0.74
27,28,9,9,157,148,0.06
28,29,46,46,170,124,0.27
29,30,5,5,142,137,0.04
30,31,19,19,195,176,0.1
31,32,23,23,144,121,0.16
32,33,15,15,49,34,0.31
33,34,21,21,202,181,0.1
34,35,17,17,197,180,0.09
35,36,10,10,125,115,0.08
36,37,19,19,120,101,0.16
37,38,44,44,124,80,0.35
38,39,15,15,36,21,0.42
39,40,107,107,132,25,0.81
40,41,5,5,122,117,0.04
41,42,13,13,155,142,0.08
42,43,3,3,171,168,0.02
43,44,25,25,53,28,0.47
44,45,44,44,151,107,0.29
45,46,45,45,145,100,0.31
46,47,29,29,72,43,0.4
47,48,10,10,77,67,0.13
48,49,117,117,302,185,0.39
49,50,5,5,73,68,0.07
50,51,56,56,143,87,0.39
51,52,41,41,188,147,0.22
52,53,84,84,163,79,0.52
53,54,1,1,120,119,0.01
54,55,49,49,112,63,0.44
55,56,26,26,135,109,0.19
56,57,21,21,159,138,0.13
57,58,7,7,175,168,0.04
58,59,29,29,93,64,0.31
59,60,49,49,146,97,0.34
60,61,2,2,158,156,0.01
61,62,12,12,231,219,0.05
62,63,-332,154,154,0,-2.16
63,64,12,12,167,155,0.07
64,65,14,14,70,56,0.2
65,66,4,4,146,142,0.03
66,67,-416,70,70,0,-5.94
67,68,39,39,186,147,0.21
68,69,42,42,53,11,0.79
69,70,50,50,151,101,0.33
70,71,39,39,67,28,0.58
71,72,21,21,130,109,0.16
72,73,31,31,111,80,0.28
73,74,40,40,136,96,0.29
74,75,77,77,87,10,0.89
75,76,35,35,204,169,0.17
76,77,122,122,161,39,0.76
77,78,1,1,71,70,0.01
78,79,33,33,100,67,0.33
79,80,15,15,132,117,0.11
80,81,23,23,212,189,0.11
81,82,21,21,161,140,0.13
82,83,18,18,72,54,0.25
83,84,35,35,171,136,0.2
84,85,-453,33,33,0,-13.73
85,86,-377,109,109,0,-3.46
86,87,-431,55,55,0,-7.84
87,88,66,66,67,1,0.99
88,89,71,71,176,105,0.4
89,90,-341,145,145,0,-2.35
90,91,47,47,233,186,0.2
91,92,4,4,149,145,0.03
92,93,83,83,243,160,0.34
93,94,29,29,132,103,0.22
94,95,13,13,88,75,0.15
95,96,9,9,96,87,0.09
96,97,18,18,133,115,0.14
97,98,10,10,120,110,0.08
98,99,12,12,96,84,0.12
99,100,13,13,197,184,0.07
100,101,8,8,257,249,0.03
101,102,1,1,54,53,0.02
102,103,1,1,164,163,0.01
103,104,58,58,85,27,0.68
104,105,68,68,147,79,0.46
105,106,14,14,62,48,0.23
106,107,26,26,183,157,0.14
107,108,48,48,172,124,0.28
108,109,56,56,160,104,0.35
109,110,39,39,83,44,0.47
110,111,35,35,161,126,0.22
111,112,-413,73,73,0,-5.66
112,113,39,39,163,124,0.24
113,114,107,107,159,52,0.67
114,115,66,66,164,98,0.4
115,116,74,74,87,13,0.85
116,117,38,38,263,225,0.14
117,118,-447,39,39,0,-11.46
118,119,57,57,171,114,0.33
119,120,76,76,100,24,0.76
120,121,45,45,127,82,0.35
121,122,7,7,158,151,0.04
122,123,28,28,48,20,0.58
123,124,7,7,209,202,0.03
124,125,38,38,146,108,0.26
125,126,64,64,75,11,0.85
126,127,52,52,67,15,0.78
127,128,-464,22,22,0,-21.09
128,129,38,38,100,62,0.38
129,130,34,34,183,149,0.19
130,131,2,2,122,120,0.02
131,132,103,103,169,66,0.61
132,133,6,6,134,128,0.04
133,134,37,37,51,14,0.73
134,135,25,25,76,51,0.33
135,136,3,3,162,159,0.02
136,137,2,2,48,46,0.04
137,138,20,20,126,106,0.16
138,139,15,15,148,133,0.1
139,140,13,13,182,169,0.07
140,141,35,35,209,174,0.17
141,142,56,56,136,80,0.41
142,143,16,16,183,167,0.09
143,144,33,33,163,130,0.2
144,145,57,57,194,137,0.29
145,146,13,13,131,118,0.1
146,147,29,29,80,51,0.36
147,148,23,23,131,108,0.18
148,149,60,60,64,4,0.94
149,150,22,22,163,141,0.13
150,151,23,23,36,13,0.64
151,152,13,13,164,151,0.08
152,153,23,23,148,125,0.16
153,154,67,67,73,6,0.92
154,155,-364,122,122,0,-2.98
155,156,62,62,72,10,0.86
156,157,22,22,75,53,0.29
157,158,45,45,246,201,0.18
158,159,-465,21,21,0,-22.14
159,160,86,86,143,57,0.6
160,161,18,18,69,51,0.26
161,162,94,94,204,110,0.46
162,163,64,64,173,109,0.37
163,164,36,36,232,196,0.16
