,machine,reward,num_actions,max_RUL,slack,reward_estimate
164,165,36,36,366,330,0.1
165,166,1,1,62,61,0.02
166,167,27,27,145,118,0.19
167,168,7,7,217,210,0.03
168,169,5,5,157,152,0.03
169,170,26,26,263,237,0.1
170,171,-422,64,64,0,-6.59
171,172,59,59,142,83,0.42
172,173,33,33,150,117,0.22
173,174,5,5,102,97,0.05
174,175,46,46,191,145,0.24
175,176,32,32,221,189,0.14
176,177,8,8,66,58,0.12
177,178,24,24,127,103,0.19
178,179,41,41,112,71,0.37
179,180,5,5,277,272,0.02
180,181,1,1,75,74,0.01
181,182,20,20,95,75,0.21
182,183,-466,20,20,0,-23.3
183,184,90,90,203,113,0.44
184,185,45,45,182,137,0.25
185,186,43,43,82,39,0.52
186,187,95,95,130,35,0.73
187,188,39,39,165,126,0.24
188,189,58,58,58,0,1.0
189,190,58,58,162,104,0.36
190,191,18,18,277,259,0.06
191,192,71,71,122,51,0.58
192,193,49,49,75,26,0.65
193,194,39,39,116,77,0.34
194,195,12,12,77,65,0.16
195,196,81,81,139,58,0.58
196,197,16,16,212,196,0.08
197,198,3,3,112,109,0.03
198,199,2,2,162,160,0.01
199,200,105,105,148,43,0.71
200,201,24,24,37,13,0.65
201,202,28,28,121,93,0.23
202,203,12,12,185,173,0.06
203,204,48,48,140,92,0.34
204,205,5,5,60,55,0.08
205,206,-415,71,71,0,-5.85
206,207,2,2,131,129,0.02
207,208,13,13,173,160,0.08
208,209,31,31,143,112,0.22
209,210,79,79,218,139,0.36
210,211,65,65,130,65,0.5
211,212,3,3,108,105,0.03
212,213,7,7,44,37,0.16
213,214,1,1,152,151,0.01
214,215,11,11,209,198,0.05
215,216,15,15,170,155,0.09
216,217,5,5,54,49,0.09
217,218,25,25,96,71,0.26
218,219,1,1,201,200,0.0
219,220,15,15,159,144,0.09
220,221,20,20,58,38,0.34
221,222,-458,28,28,0,-16.36
222,223,12,12,60,48,0.2
223,224,8,8,148,140,0.05
224,225,26,26,78,52,0.33
225,226,93,93,98,5,0.95
226,227,6,6,125,119,0.05
227,228,25,25,109,84,0.23
228,229,9,9,217,208,0.04
229,230,46,46,140,94,0.33
230,231,-414,72,72,0,-5.75
231,232,-365,121,121,0,-3.02
232,233,84,84,185,101,0.45
233,234,35,35,185,150,0.19
234,235,2,2,119,117,0.02
235,236,21,21,76,55,0.28
236,237,54,54,225,171,0.24
237,238,24,24,199,175,0.12
238,239,1,1,115,114,0.01
239,240,21,21,305,284,0.07
240,241,36,36,68,32,0.53
241,242,35,35,162,127,0.22
242,243,3,3,225,222,0.01
243,244,-344,142,142,0,-2.42
244,245,126,126,141,15,0.89
245,246,98,98,143,45,0.69
246,247,42,42,77,35,0.55
247,248,25,25,156,131,0.16
248,249,7,7,69,62,0.1
249,250,2,2,195,193,0.01
250,251,20,20,140,120,0.14
251,252,42,42,89,47,0.47
252,253,10,10,145,135,0.07
253,254,4,4,57,53,0.07
254,255,3,3,71,68,0.04
255,256,28,28,74,46,0.38
256,257,6,6,160,154,0.04
257,258,11,11,170,159,0.06
258,259,23,23,186,163,0.12
259,260,90,90,123,33,0.73
260,261,113,113,173,60,0.65
261,262,1,1,184,183,0.01
262,263,60,60,143,83,0.42
263,264,10,10,198,188,0.05
264,265,17,17,34,17,0.5
265,266,66,66,96,30,0.69
266,267,45,45,77,32,0.58
267,268,22,22,106,84,0.21
268,269,-407,79,79,0,-5.15
269,270,30,30,84,54,0.36
270,271,151,151,242,91,0.62
271,272,38,38,127,89,0.3
272,273,18,18,116,98,0.16
273,274,28,28,50,22,0.56
274,275,32,32,82,50,0.39
275,276,10,10,199,189,0.05
276,277,5,5,190,185,0.03
277,278,7,7,53,46,0.13
278,279,135,135,155,20,0.87
279,280,15,15,153,138,0.1
280,281,15,15,198,183,0.08
281,282,32,32,133,101,0.24
282,283,14,14,149,135,0.09
283,284,21,21,63,42,0.33
284,285,28,28,253,225,0.11
285,286,7,7,165,158,0.04
286,287,40,40,83,43,0.48
287,288,15,15,85,70,0.18
288,289,29,29,177,148,0.16
289,290,61,61,157,96,0.39
290,291,27,27,94,67,0.29
291,292,85,85,160,75,0.53
292,293,165,165,244,79,0.68
293,294,42,42,49,7,0.86
294,295,33,33,261,228,0.13
295,296,61,61,108,47,0.56
296,297,2,2,58,56,0.03
297,298,7,7,119,112,0.06
298,299,14,14,116,102,0.12
299,300,1,1,59,58,0.02
300,301,-462,24,24,0,-19.25
301,302,54,54,123,69,0.44
302,303,34,34,114,80,0.3
303,304,36,36,40,4,0.9
304,305,11,11,30,19,0.37
305,306,34,34,161,127,0.21
306,307,19,19,140,121,0.14
307,308,38,38,165,127,0.23
308,309,27,27,130,103,0.21
309,310,52,52,181,129,0.29
310,311,12,12,154,142,0.08
311,312,127,127,186,59,0.68
312,313,7,7,158,151,0.04
313,314,72,72,74,2,0.97
314,315,55,55,70,15,0.79
315,316,-387,99,99,0,-3.91
316,317,20,20,48,28,0.42
317,318,4,4,32,28,0.12
318,319,49,49,160,111,0.31
319,320,15,15,53,38,0.28
320,321,-432,54,54,0,-8.0
321,322,149,149,179,30,0.83
322,323,-458,28,28,0,-16.36
323,324,-444,42,42,0,-10.57
324,325,29,29,165,136,0.18
325,326,62,62,164,102,0.38
326,327,17,17,179,162,0.09
327,328,-443,43,43,0,-10.3
328,329,9,9,108,99,0.08
329,330,86,86,124,38,0.69
330,331,19,19,186,167,0.1
331,332,6,6,158,152,0.04
332,333,-447,39,39,0,-11.46
333,334,-340,146,146,0,-2.33
334,335,27,27,101,74,0.27
335,336,30,30,273,243,0.11
336,337,116,116,234,118,0.5
337,338,65,65,93,28,0.7
338,339,37,37,105,68,0.35
339,340,6,6,49,43,0.12
340,341,18,18,43,25,0.42
341,342,30,30,193,163,0.16
342,343,-447,39,39,0,-11.46
343,344,1,1,48,47,0.02
344,345,10,10,264,254,0.04
345,346,25,25,79,54,0.32
346,347,17,17,86,69,0.2
347,348,16,16,161,145,0.1
348,349,-451,35,35,0,-12.89
349,350,38,38,233,195,0.16
350,351,-423,63,63,0,-6.71
351,352,15,15,248,233,0.06
352,353,2,2,138,136,0.01
353,354,41,41,130,89,0.32
354,355,116,116,149,33,0.78
355,356,37,37,58,21,0.64
356,357,20,20,198,178,0.1
357,358,91,91,97,6,0.94
358,359,16,16,122,106,0.13
359,360,19,19,232,213,0.08
360,361,2,2,123,121,0.02
361,362,9,9,233,224,0.04
362,363,3,3,67,64,0.04
363,364,15,15,137,122,0.11
364,365,2,2,63,61,0.03
365,366,150,150,157,7,0.96
366,367,1,1,191,190,0.01
367,368,1,1,237,236,0.0
368,369,65,65,130,65,0.5
369,370,-384,102,102,0,-3.76
370,371,62,62,145,83,0.43
371,372,55,55,64,9,0.86
372,373,38,38,168,130,0.23
373,374,19,19,111,92,0.17
374,375,-361,125,125,0,-2.89
375,376,40,40,229,189,0.17
376,377,81,81,243,162,0.33
377,378,23,23,114,91,0.2
378,379,10,10,206,196,0.05
379,380,8,8,262,254,0.03
380,381,67,67,118,51,0.57
381,382,14,14,404,390,0.03
382,383,10,10,474,464,0.02
383,384,4,4,168,164,0.02
384,385,15,15,129,114,0.12
385,386,68,68,103,35,0.66
386,387,2,2,69,67,0.03
387,388,-398,88,88,0,-4.52
388,389,41,41,332,291,0.12
389,390,53,53,151,98,0.35
390,391,13,13,119,106,0.11
391,392,35,35,179,144,0.2
392,393,15,15,104,89,0.14
393,394,1,1,143,142,0.01
394,395,3,3,89,86,0.03
395,396,12,12,46,34,0.26
396,397,24,24,132,108,0.18
397,398,109,109,309,200,0.35
398,399,126,126,312,186,0.4
399,400,8,8,100,92,0.08
400,401,27,27,86,59,0.31
401,402,65,65,132,67,0.49
402,403,11,11,145,134,0.08
403,404,42,42,87,45,0.48
404,405,31,31,179,148,0.17
405,406,-431,55,55,0,-7.84
406,407,24,24,178,154,0.13
407,408,17,17,210,193,0.08
408,409,61,61,146,85,0.42
409,410,12,12,117,105,0.1
410,411,31,31,37,6,0.84
411,412,37,37,107,70,0.35
412,413,14,14,49,35,0.29
413,414,202,202,202,0,1.0
414,415,15,15,161,146,0.09
415,416,11,11,157,146,0.07
416,417,14,14,118,104,0.12
417,418,15,15,148,133,0.1
418,419,27,27,111,84,0.24
419,420,62,62,77,15,0.81
420,421,2,2,223,221,0.01
421,422,7,7,136,129,0.05
422,423,11,11,270,259,0.04
423,424,46,46,78,32,0.59
424,425,54,54,121,67,0.45
425,426,34,34,185,151,0.18
426,427,6,6,187,181,0.03
427,428,64,64,104,40,0.62
428,429,76,76,83,7,0.92
429,430,19,19,366,347,0.05
430,431,11,11,231,220,0.05
431,432,18,18,108,90,0.17
432,433,9,9,67,58,0.13
433,434,139,139,190,51,0.73
434,435,13,13,179,166,0.07
435,436,113,113,380,267,0.3
436,437,71,71,278,207,0.26
437,438,37,37,169,132,0.22
438,439,45,45,84,39,0.54
439,440,9,9,154,145,0.06
440,441,29,29,193,164,0.15
441,442,21,21,167,146,0.13
442,443,5,5,75,70,0.07
443,444,53,53,117,64,0.45
444,445,-313,173,173,0,-1.81
445,446,43,43,217,174,0.2
446,447,1,1,40,39,0.02
447,448,82,82,119,37,0.69
448,449,29,29,205,176,0.14
449,450,34,34,55,21,0.62
450,451,84,84,265,181,0.32
451,452,2,2,157,155,0.01
452,453,14,14,332,318,0.04
453,454,1,1,212,211,0.0
454,455,9,9,357,348,0.03
455,456,3,3,94,91,0.03
456,457,45,45,181,136,0.25
457,458,11,11,288,277,0.04
458,459,74,74,246,172,0.3
459,460,84,84,229,145,0.37
460,461,116,116,152,36,0.76
461,462,6,6,140,134,0.04
462,463,16,16,207,191,0.08
463,464,-436,50,50,0,-8.72
464,465,53,53,145,92,0.37
465,466,-433,53,53,0,-8.17
466,467,41,41,247,206,0.17
467,468,70,70,283,213,0.25
468,469,-464,22,22,0,-21.09
469,470,15,15,81,66,0.19
470,471,63,63,269,206,0.23
471,472,130,130,226,96,0.58
472,473,40,40,101,61,0.4
473,474,5,5,167,162,0.03
474,475,153,153,239,86,0.64
475,476,9,9,333,324,0.03
476,477,3,3,246,243,0.01
477,478,-463,23,23,0,-20.13
478,479,-372,114,114,0,-3.26
479,480,41,41,201,160,0.2
480,481,12,12,157,145,0.08
481,482,2,2,161,159,0.01
482,483,38,38,173,135,0.22
483,484,35,35,485,450,0.07
484,485,10,10,89,79,0.11
485,486,70,70,143,73,0.49
486,487,19,19,19,0,1.0
487,488,6,6,215,209,0.03
488,489,43,43,228,185,0.19
489,490,-353,133,133,0,-2.65
490,491,9,9,259,250,0.03
491,492,97,97,106,9,0.92
492,493,1,1,360,359,0.0
493,494,27,27,277,250,0.1
494,495,110,110,158,48,0.7
495,496,31,31,344,313,0.09
496,497,32,32,124,92,0.26
497,498,50,50,213,163,0.23
498,499,1,1,265,264,0.0
499,500,76,76,413,337,0.18
500,501,6,6,199,193,0.03
501,502,15,15,119,104,0.13
502,503,84,84,405,321,0.21
503,504,29,29,77,48,0.38
504,505,-450,36,36,0,-12.5
505,506,22,22,223,201,0.1
506,507,119,119,213,94,0.56
507,508,60,60,272,212,0.22
508,509,113,113,205,92,0.55
509,510,14,14,136,122,0.1
510,511,18,18,57,39,0.32
511,512,-420,66,66,0,-6.36
512,513,10,10,80,70,0.12
513,514,14,14,102,88,0.14
514,515,6,6,179,173,0.03
515,516,16,16,120,104,0.13
516,517,4,4,184,180,0.02
517,518,-450,36,36,0,-12.5
518,519,51,51,134,83,0.38
519,520,41,41,395,354,0.1
520,521,154,154,239,85,0.64
521,522,18,18,157,139,0.11
522,523,37,37,250,213,0.15
523,524,35,35,185,150,0.19
524,525,39,39,96,57,0.41
525,526,17,17,149,132,0.11
526,527,31,31,240,209,0.13
527,528,18,18,161,143,0.11
528,529,2,2,189,187,0.01
529,530,64,64,291,227,0.22
530,531,59,59,117,58,0.5
531,532,5,5,148,143,0.03
532,533,61,61,222,161,0.27
533,534,197,197,202,5,0.98
534,535,45,45,47,2,0.96
535,536,15,15,107,92,0.14
536,537,55,55,105,50,0.52
537,538,59,59,183,124,0.32
538,539,92,92,111,19,0.83
539,540,41,41,59,18,0.69
540,541,42,42,145,103,0.29
541,542,25,25,273,248,0.09
542,543,43,43,87,44,0.49
543,544,49,49,173,124,0.28
544,545,2,2,253,251,0.01
545,546,105,105,166,61,0.63
546,547,35,35,139,104,0.25
547,548,4,4,284,280,0.01
548,549,86,86,117,31,0.74
549,550,19,19,143,124,0.13
550,551,3,3,115,112,0.03
551,552,28,28,199,171,0.14
552,553,44,44,104,60,0.42
553,554,55,55,109,54,0.5
554,555,5,5,122,117,0.04
555,556,23,23,50,27,0.46
556,557,7,7,81,74,0.09
557,558,33,33,236,203,0.14
558,559,160,160,195,35,0.82
559,560,8,8,165,157,0.05
560,561,33,33,442,409,0.07
561,562,9,9,144,135,0.06
562,563,4,4,64,60,0.06
563,564,4,4,350,346,0.01
564,565,14,14,147,133,0.1
565,566,17,17,120,103,0.14
566,567,89,89,144,55,0.62
567,568,-421,65,65,0,-6.48
568,569,38,38,347,309,0.11
569,570,12,12,341,329,0.04
570,571,-399,87,87,0,-4.59
571,572,25,25,131,106,0.19
572,573,13,13,217,204,0.06
573,574,15,15,81,66,0.19
574,575,27,27,160,133,0.17
575,576,4,4,96,92,0.04
576,577,9,9,177,168,0.05
577,578,5,5,227,222,0.02
578,579,55,55,169,114,0.33
579,580,5,5,193,188,0.03
580,581,13,13,116,103,0.11
581,582,78,78,235,157,0.33
582,583,18,18,229,211,0.08
583,584,17,17,20,3,0.85
584,585,79,79,219,140,0.36
585,586,-389,97,97,0,-4.01
586,587,4,4,138,134,0.03
587,588,7,7,314,307,0.02
588,589,-380,106,106,0,-3.58
589,590,35,35,192,157,0.18
590,591,-372,114,114,0,-3.26
591,592,52,52,73,21,0.71
592,593,21,21,265,244,0.08
593,594,57,57,434,377,0.13
594,595,6,6,55,49,0.11
595,596,25,25,290,265,0.09
596,597,33,33,238,205,0.14
597,598,27,27,87,60,0.31
598,599,34,34,159,125,0.21
599,600,10,10,18,8,0.56
600,601,-418,68,68,0,-6.15
601,602,21,21,326,305,0.06
602,603,-453,33,33,0,-13.73
603,604,16,16,101,85,0.16
604,605,33,33,83,50,0.4
605,606,38,38,115,77,0.33
606,607,67,67,125,58,0.54
607,608,8,8,319,311,0.03
608,609,40,40,201,161,0.2
609,610,13,13,284,271,0.05
610,611,62,62,194,132,0.32
611,612,22,22,129,107,0.17
612,613,5,5,121,116,0.04
613,614,68,68,160,92,0.42
614,615,17,17,27,10,0.63
615,616,96,96,137,41,0.7
616,617,1,1,170,169,0.01
617,618,43,43,159,116,0.27
618,619,2,2,121,119,0.02
619,620,53,53,256,203,0.21
620,621,56,56,98,42,0.57
621,622,47,47,121,74,0.39
622,623,-458,28,28,0,-16.36
623,624,1,1,177,176,0.01
624,625,60,60,62,2,0.97
625,626,73,73,98,25,0.74
626,627,69,69,73,4,0.95
627,628,-453,33,33,0,-13.73
628,629,15,15,47,32,0.32
629,630,43,43,354,311,0.12
630,631,10,10,131,121,0.08
631,632,36,36,150,114,0.24
632,633,7,7,134,127,0.05
633,634,2,2,115,113,0.02
634,635,10,10,184,174,0.05
635,636,15,15,145,130,0.1
636,637,39,39,278,239,0.14
637,638,93,93,261,168,0.36
638,639,215,215,366,151,0.59
639,640,22,22,198,176,0.11
640,641,3,3,97,94,0.03
641,642,38,38,124,86,0.31
642,643,30,30,153,123,0.2
643,644,37,37,202,165,0.18
644,645,1,1,46,45,0.02
645,646,38,38,120,82,0.32
646,647,18,18,156,138,0.12
647,648,22,22,106,84,0.21
648,649,11,11,199,188,0.06
649,650,42,42,70,28,0.6
650,651,27,27,202,175,0.13
651,652,60,60,262,202,0.23
652,653,66,66,213,147,0.31
653,654,41,41,185,144,0.22
654,655,8,8,69,61,0.12
655,656,77,77,195,118,0.39
656,657,51,51,114,63,0.45
657,658,59,59,176,117,0.34
658,659,24,24,114,90,0.21
659,660,-348,138,138,0,-2.52
660,661,8,8,221,213,0.04
661,662,42,42,86,44,0.49
662,663,9,9,18,9,0.5
663,664,11,11,94,83,0.12
664,665,33,33,290,257,0.11
665,666,38,38,178,140,0.21
666,667,56,56,179,123,0.31
667,668,45,45,170,125,0.26
668,669,35,35,134,99,0.26
669,670,34,34,205,171,0.17
670,671,1,1,260,259,0.0
671,672,81,81,287,206,0.28
672,673,16,16,101,85,0.16
673,674,20,20,71,51,0.28
674,675,19,19,263,244,0.07
675,676,7,7,140,133,0.05
676,677,16,16,62,46,0.26
677,678,26,26,109,83,0.24
678,679,39,39,64,25,0.61
679,680,116,116,175,59,0.66
680,681,6,6,177,171,0.03
681,682,40,40,304,264,0.13
682,683,5,5,151,146,0.03
683,684,30,30,38,8,0.79
684,685,-428,58,58,0,-7.38
685,686,56,56,61,5,0.92
686,687,17,17,125,108,0.14
687,688,-467,19,19,0,-24.58
688,689,2,2,156,154,0.01
689,690,119,119,229,110,0.52
690,691,19,19,369,350,0.05
691,692,7,7,110,103,0.06
692,693,42,42,178,136,0.24
693,694,81,81,361,280,0.22
694,695,71,71,175,104,0.41
695,696,63,63,220,157,0.29
696,697,81,81,176,95,0.46
697,698,-459,27,27,0,-17.0
698,699,4,4,203,199,0.02
699,700,11,11,41,30,0.27
700,701,30,30,111,81,0.27
701,702,6,6,198,192,0.03
702,703,59,59,183,124,0.32
703,704,4,4,62,58,0.06
704,705,-458,28,28,0,-16.36
705,706,19,19,93,74,0.2
706,707,5,5,280,275,0.02
