#{"t_start": 1644494328.2548292, "env_id": null}
r,l,t
4,4,4.568717
1,1,4.571413
6,6,4.587874
3,3,4.593497
2,2,4.599501
1,1,4.602499
1,1,4.605143
4,4,4.614012
5,5,4.627921
1,1,4.629802
3,3,4.635458
1,1,4.637408
1,1,4.645947
1,1,4.650702
1,1,4.653881
1,1,4.657012
2,2,4.68249
5,5,4.690395
2,2,4.696934
1,1,4.698662
3,3,4.712073
1,1,4.71593
1,1,4.719554
1,1,4.722638
1,1,4.727238
1,1,4.729091
1,1,4.730895
2,2,4.73549
1,1,4.742532
1,1,4.748064
1,1,4.750396
1,1,4.752669
1,1,4.756043
2,2,4.763418
3,3,4.77002
6,6,4.778908
1,1,4.785837
2,2,4.797085
1,1,4.801146
1,1,4.803028
1,1,4.8072
4,4,4.817607
2,2,4.82798
1,1,4.831148
1,1,4.834298
1,1,4.837429
1,1,4.84107
1,1,4.845749
2,2,4.854455
5,5,4.864169
2,2,4.867433
2,2,4.869905
2,2,4.882234
1,1,4.883807
3,3,4.890198
1,1,4.894332
1,1,4.901542
1,1,4.906871
1,1,4.910692
2,2,4.914708
1,1,4.928415
1,1,4.93025
6,6,4.937375
2,2,4.950919
1,1,4.95466
2,2,4.966567
2,2,4.970775
2,2,4.979874
2,2,4.985709
4,4,4.999251
1,1,5.00107
1,1,5.005469
1,1,5.011106
3,3,5.01857
2,2,5.028187
1,1,5.030175
2,2,5.03655
2,2,5.042301
2,2,5.047071
5,5,5.054244
1,1,5.064402
1,1,5.068164
1,1,5.070117
1,1,5.075874
2,2,5.08457
1,1,5.087043
1,1,5.090422
4,4,5.097303
14,14,5.119555
2,2,5.12294
2,2,5.128618
2,2,5.133673
1,1,5.136769
3,3,5.14101
1,1,5.145167
3,3,5.150856
1,1,5.156492
2,2,5.162179
1,1,5.164173
2,2,5.168771
2,2,5.177583
5,5,5.187454
1,1,5.189266
3,3,5.197171
5,5,5.210182
1,1,5.213138
1,1,5.214951
2,2,5.217829
1,1,5.220686
2,2,5.22626
1,1,5.229692
1,1,5.231361
1,1,5.236408
4,4,5.243142
2,2,5.247179
4,4,5.259327
2,2,5.269244
1,1,5.271093
1,1,5.275578
2,2,5.27964
2,2,5.284349
2,2,5.291919
2,2,5.29631
5,5,5.308396
4,4,5.315297
1,1,5.319945
3,3,5.322999
1,1,5.324702
3,3,5.332791
1,1,5.337708
