#{"t_start": 1643754310.58131, "env_id": null}
r,l,t
2,2,4.358667
1,1,4.362477
3,3,4.367365
2,2,4.371974
1,1,4.37579
1,1,4.379737
1,1,4.382804
3,3,4.388067
1,1,4.391874
3,3,4.397202
3,3,4.402254
1,1,4.405691
1,1,4.410105
2,2,4.415081
1,1,4.419394
2,2,4.423803
2,2,4.428739
2,2,4.433927
1,1,4.437187
1,1,4.440818
2,2,4.44596
3,3,4.452452
1,1,4.455421
3,3,4.460026
3,3,4.466059
2,2,4.47206
2,2,4.476267
2,2,4.479921
5,5,4.489046
1,1,4.492945
1,1,4.495643
4,4,4.501712
1,1,4.505729
1,1,4.509723
1,1,4.512838
1,1,4.515701
5,5,4.523941
1,1,4.527284
1,1,4.530253
2,2,4.534417
4,4,4.541684
2,2,4.546186
6,6,4.554722
3,3,4.559546
1,1,4.563564
3,3,4.569041
8,8,4.578468
1,1,4.581501
1,1,4.58552
1,1,4.589696
2,2,4.593425
1,1,4.596004
4,4,4.603252
4,4,4.609594
1,1,4.612579
2,2,4.616129
1,1,4.619837
1,1,4.623397
3,3,4.628823
2,2,4.632475
1,1,4.63686
2,2,4.641773
1,1,4.645011
5,5,4.651736
4,4,4.659307
3,3,4.664726
2,2,4.6685
1,1,4.671238
2,2,4.67612
1,1,4.679868
1,1,4.682721
4,4,4.688749
1,1,4.692609
3,3,4.70186
1,1,4.707718
3,3,4.71683
1,1,4.722267
1,1,4.726076
2,2,4.730029
2,2,4.734807
6,6,4.74549
2,2,4.749912
1,1,4.752929
2,2,4.757572
1,1,4.76153
1,1,4.765104
1,1,4.768895
2,2,4.773013
1,1,4.776694
3,3,4.78254
4,4,4.78859
1,1,4.791727
1,1,4.795376
1,1,4.799243
4,4,4.805849
1,1,4.808621
3,3,4.814252
3,3,4.820723
4,4,4.826852
2,2,4.830524
6,6,4.841305
1,1,4.844542
2,2,4.848758
1,1,4.852049
1,1,4.855753
3,3,4.861198
1,1,4.863984
1,1,4.866718
2,2,4.871492
2,2,4.876493
3,3,4.881176
2,2,4.884928
2,2,4.889935
1,1,4.89435
1,1,4.89707
