#{"t_start": 1644498532.866197, "env_id": null}
r,l,t
2,2,3.100872
1,1,3.103538
1,1,3.106211
1,1,3.108655
1,1,3.115067
3,3,3.12647
1,1,3.13242
3,3,3.138293
3,3,3.149862
1,1,3.153995
1,1,3.155855
1,1,3.157686
2,2,3.167059
2,2,3.169927
6,6,3.176645
1,1,3.179503
2,2,3.185703
2,2,3.205083
1,1,3.207838
1,1,3.210916
4,4,3.218074
4,4,3.227855
1,1,3.230024
1,1,3.235278
6,6,3.248896
1,1,3.252346
3,3,3.258083
2,2,3.261958
1,1,3.265704
4,4,3.271165
1,1,3.274569
1,1,3.278875
2,2,3.291828
1,1,3.295873
6,6,3.304872
3,3,3.308794
1,1,3.316145
3,3,3.321668
5,5,3.33459
1,1,3.336409
1,1,3.34197
1,1,3.345593
1,1,3.347755
2,2,3.357115
1,1,3.362304
1,1,3.365441
3,3,3.369175
2,2,3.372996
1,1,3.376049
1,1,3.378521
2,2,3.382772
1,1,3.384547
2,2,3.389625
1,1,3.392189
3,3,3.396844
1,1,3.398658
2,2,3.404225
1,1,3.406456
4,4,3.416514
4,4,3.42189
2,2,3.444741
1,1,3.447231
3,3,3.456467
1,1,3.458335
2,2,3.466084
1,1,3.468429
1,1,3.472807
1,1,3.474742
1,1,3.478318
2,2,3.483137
4,4,3.487406
1,1,3.489365
3,3,3.498515
6,6,3.505961
1,1,3.509414
3,3,3.525102
3,3,3.535147
1,1,3.540432
1,1,3.543329
3,3,3.54657
1,1,3.549301
2,2,3.553227
2,2,3.555943
10,10,3.569867
1,1,3.573577
2,2,3.57791
2,2,3.588152
1,1,3.590482
2,2,3.597727
1,1,3.600225
1,1,3.606405
1,1,3.608355
4,4,3.618054
2,2,3.623418
1,1,3.625318
1,1,3.628107
1,1,3.634408
2,2,3.637921
1,1,3.639675
2,2,3.647331
1,1,3.653789
1,1,3.656981
3,3,3.66096
2,2,3.664916
1,1,3.669892
2,2,3.67619
2,2,3.679642
1,1,3.683725
1,1,3.687602
4,4,3.697139
1,1,3.702862
1,1,3.704895
1,1,3.709107
1,1,3.712878
4,4,3.722467
1,1,3.728885
1,1,3.736872
2,2,3.743131
5,5,3.751986
2,2,3.756408
3,3,3.764558
1,1,3.766787
1,1,3.76977
1,1,3.772197
3,3,3.779519
1,1,3.782214
5,5,3.789892
2,2,3.79824
2,2,3.809373
2,2,3.813831
6,6,3.822697
3,3,3.828382
1,1,3.831445
2,2,3.835525
1,1,3.837636
1,1,3.841975
1,1,3.848077
1,1,3.851802
1,1,3.853587
1,1,3.855595
3,3,3.875486
2,2,3.879003
1,1,3.881054
1,1,3.88421
6,6,3.90403
3,3,3.909769
5,5,3.921719
1,1,3.923632
1,1,3.927207
1,1,3.934921
1,1,3.936782
3,3,3.942624
1,1,3.946378
1,1,3.949575
5,5,3.95915
1,1,3.963677
1,1,3.97167
2,2,3.975742
1,1,3.979033
1,1,3.982029
2,2,3.987428
1,1,3.991028
1,1,3.993436
2,2,4.003461
1,1,4.006196
1,1,4.012648
1,1,4.017335
2,2,4.02068
1,1,4.024203
1,1,4.026715
1,1,4.029181
1,1,4.035145
1,1,4.13503
2,2,4.138371
6,6,4.147517
2,2,4.169265
2,2,4.188779
2,2,4.192621
1,1,4.196727
3,3,4.203956
1,1,4.209875
3,3,4.232459
2,2,4.245574
1,1,4.248841
2,2,4.262304
3,3,4.268352
1,1,4.272529
1,1,4.275297
1,1,4.299239
1,1,4.306587
3,3,4.309858
2,2,4.313518
2,2,4.318763
7,7,4.334226
2,2,4.338938
6,6,4.354523
3,3,4.364134
1,1,4.369523
4,4,4.376555
3,3,4.388881
1,1,4.39237
4,4,4.406681
1,1,4.409001
3,3,4.4155
5,5,4.429597
2,2,4.443629
1,1,4.447066
3,3,4.455397
1,1,4.459009
2,2,4.468995
3,3,4.475387
1,1,4.479546
1,1,4.483856
2,2,4.491191
2,2,4.497015
2,2,4.505924
1,1,4.511174
1,1,4.514789
1,1,4.522342
4,4,4.532986
4,4,4.558065
1,1,4.562478
3,3,4.568126
1,1,4.570955
2,2,4.575249
2,2,4.581461
4,4,4.592629
2,2,4.598039
1,1,4.603759
1,1,4.607719
2,2,4.61381
4,4,4.621888
3,3,4.633597
3,3,4.641473
2,2,4.648177
2,2,4.681016
2,2,4.693222
3,3,4.703493
2,2,4.70825
1,1,4.721123
2,2,4.725834
3,3,4.736886
3,3,4.743621
3,3,4.749254
2,2,4.75757
4,4,4.775478
2,2,4.779314
1,1,4.787104
2,2,4.795656
2,2,4.798951
3,3,4.806959
1,1,4.809445
1,1,4.818671
2,2,4.82211
1,1,4.824474
1,1,4.828719
2,2,4.839073
1,1,4.841174
3,3,4.845968
2,2,4.852909
1,1,4.856761
2,2,4.863997
1,1,4.870745
2,2,4.875614
5,5,4.906093
5,5,4.917257
4,4,4.925919
1,1,4.928014
1,1,4.939539
1,1,4.943802
1,1,4.947372
3,3,4.957324
1,1,4.965572
1,1,4.97014
