#{"t_start": 1644491853.125269, "env_id": null}
r,l,t
1,1,17.125315
1,1,17.129774
2,2,17.132433
1,1,17.135824
4,4,17.271227
1,1,17.276174
1,1,17.278027
1,1,17.283716
2,2,17.289921
1,1,17.292712
1,1,17.303744
2,2,17.316809
1,1,17.336404
1,1,17.340476
1,1,17.343257
3,3,17.353812
1,1,17.367284
3,3,17.376521
1,1,17.381326
2,2,17.387581
2,2,17.400265
4,4,17.417451
1,1,17.424869
1,1,17.427884
2,2,17.5313
3,3,17.537991
1,1,17.604337
1,1,17.607101
1,1,17.618199
1,1,17.624949
1,1,17.632218
4,4,17.640704
1,1,17.664233
2,2,17.676793
6,6,17.734077
1,1,17.73647
1,1,17.744256
1,1,17.764429
1,1,17.773268
1,1,17.778002
2,2,17.788296
1,1,17.809866
1,1,17.812107
2,2,17.821184
1,1,17.847281
1,1,17.856977
2,2,17.860735
1,1,17.862918
2,2,17.96116
1,1,17.965146
2,2,17.970306
1,1,17.973673
3,3,17.994456
5,5,18.012886
3,3,18.016973
3,3,18.022583
4,4,18.041567
4,4,18.05693
2,2,18.070959
1,1,18.082831
2,2,18.09533
1,1,18.121201
1,1,18.123544
2,2,18.131792
1,1,18.141748
1,1,18.152201
2,2,18.163384
3,3,18.170617
1,1,18.176592
5,5,18.194911
5,5,18.23341
4,4,18.252789
1,1,18.271291
1,1,18.275017
6,6,18.28782
1,1,18.317245
1,1,18.333451
2,2,18.384623
1,1,18.402809
1,1,18.407755
2,2,18.425804
2,2,18.433171
2,2,18.437538
1,1,18.442225
1,1,18.482234
2,2,18.506643
2,2,18.517814
1,1,18.52139
1,1,18.526915
1,1,18.5328
1,1,18.538242
1,1,18.544538
1,1,18.556866
1,1,18.586151
3,3,18.592681
3,3,18.602689
2,2,18.625709
2,2,18.635379
3,3,18.64405
1,1,18.670804
2,2,18.691602
1,1,18.6972
1,1,18.702869
1,1,18.705053
1,1,18.711129
2,2,18.717571
1,1,18.722055
1,1,18.725187
1,1,18.731797
1,1,18.734026
2,2,18.742031
2,2,18.754844
1,1,18.797485
1,1,18.806563
4,4,18.81378
2,2,18.818327
1,1,18.836564
2,2,18.845481
4,4,18.855865
2,2,18.86706
1,1,18.896882
1,1,18.905386
2,2,18.912797
2,2,18.926179
2,2,18.940992
2,2,18.945389
1,1,18.950856
3,3,18.961323
3,3,18.997664
5,5,19.020211
1,1,19.022988
2,2,19.027539
3,3,19.037393
1,1,19.043288
2,2,19.05312
3,3,19.058437
1,1,19.06611
4,4,19.092525
1,1,19.101131
1,1,19.108949
6,6,19.123003
1,1,19.125017
4,4,19.137668
4,4,19.145089
2,2,19.217924
2,2,19.223871
1,1,19.226242
1,1,19.232448
1,1,19.242973
1,1,19.244971
1,1,19.250832
2,2,19.255979
3,3,19.277233
4,4,19.292866
1,1,19.298125
1,1,19.310692
1,1,19.317365
1,1,19.320045
1,1,19.322777
1,1,19.325017
1,1,19.333967
3,3,19.345919
1,1,19.356393
1,1,19.358305
2,2,19.388029
2,2,19.396971
1,1,19.41098
2,2,19.414894
4,4,19.423212
1,1,19.425107
2,2,19.430734
5,5,19.441159
4,4,19.465926
1,1,19.47403
1,1,19.477705
1,1,19.486246
3,3,19.506527
4,4,19.515356
15,15,19.556342
3,3,19.576589
1,1,19.608785
1,1,19.612812
1,1,19.616999
1,1,19.620875
2,2,19.637237
1,1,19.64304
1,1,19.648029
2,2,19.661751
3,3,19.687751
1,1,19.696554
2,2,19.703415
1,1,19.709264
1,1,19.718368
4,4,19.725393
2,2,19.737147
3,3,19.75329
2,2,19.801374
1,1,19.803152
2,2,19.808971
1,1,19.81781
1,1,19.835369
1,1,19.842095
1,1,19.857463
1,1,19.862149
1,1,19.872526
1,1,19.876283
1,1,19.882124
4,4,19.893229
1,1,19.901651
1,1,19.907486
1,1,19.910696
2,2,19.913821
4,4,19.921197
2,2,19.924655
2,2,19.927126
1,1,19.930066
1,1,19.936992
1,1,19.942867
3,3,19.956535
2,2,19.963456
2,2,19.981955
2,2,19.987659
4,4,19.995482
2,2,19.99815
1,1,20.00879
1,1,20.012856
4,4,20.019212
1,1,20.021785
1,1,20.03177
2,2,20.045794
1,1,20.051046
1,1,20.053752
1,1,20.066123
1,1,20.08019
1,1,20.083014
1,1,20.084919
1,1,20.092633
3,3,20.109628
1,1,20.114152
2,2,20.117064
3,3,20.124641
1,1,20.134699
3,3,20.144588
3,3,20.149135
2,2,20.174446
3,3,20.196007
1,1,20.203962
2,2,20.208219
1,1,20.23484
1,1,20.238177
2,2,20.251102
2,2,20.257369
2,2,20.297752
1,1,20.300933
1,1,20.304441
1,1,20.311071
1,1,20.35012
1,1,20.365349
1,1,20.405459
2,2,20.435966
1,1,20.455988
2,2,20.467339
1,1,20.471198
1,1,20.473254
1,1,20.483412
2,2,20.494121
2,2,20.501975
1,1,20.503872
1,1,20.510666
3,3,20.520694
2,2,20.524836
1,1,20.534861
1,1,20.548324
1,1,20.553767
4,4,20.562899
2,2,20.567173
2,2,20.597091
4,4,20.609618
1,1,20.612767
2,2,20.617378
3,3,20.638267
1,1,20.643788
1,1,20.648153
6,6,20.66736
3,3,20.696583
2,2,20.706302
1,1,20.709262
2,2,20.716014
1,1,20.731878
5,5,20.742867
1,1,20.751848
1,1,20.761727
1,1,20.776029
2,2,20.791274
1,1,20.793703
1,1,20.79572
2,2,20.827006
1,1,20.830508
2,2,20.838008
1,1,20.84269
2,2,20.84855
2,2,20.857178
1,1,20.860487
1,1,20.863805
2,2,20.885263
1,1,20.891832
1,1,20.89546
1,1,20.898213
2,2,20.912597
1,1,20.916144
2,2,20.920393
1,1,20.923247
1,1,20.930121
1,1,20.93533
6,6,20.963703
1,1,20.974721
1,1,21.010228
1,1,21.013186
2,2,21.021429
1,1,21.02538
1,1,21.041631
1,1,21.044086
2,2,21.097202
2,2,21.108149
6,6,21.126189
2,2,21.131616
7,7,21.144638
1,1,21.1572
1,1,21.209013
2,2,21.214828
3,3,21.225005
1,1,21.24279
3,3,21.255998
3,3,21.264971
2,2,21.273875
1,1,21.281736
3,3,21.298922
3,3,21.304667
7,7,21.333998
1,1,21.340602
4,4,21.351633
2,2,21.357585
1,1,21.361272
2,2,21.365628
1,1,21.464055
1,1,21.467796
1,1,21.477508
1,1,21.494609
3,3,21.507755
1,1,21.512829
1,1,21.520348
1,1,21.52428
2,2,21.534766
5,5,21.545664
1,1,21.550531
2,2,21.553208
2,2,21.562228
2,2,21.566067
3,3,21.570777
2,2,21.575999
6,6,21.649949
1,1,21.654414
1,1,21.663503
1,1,21.670844
1,1,21.680903
1,1,21.684162
1,1,21.689925
2,2,21.698051
1,1,21.710645
3,3,21.716258
1,1,21.718274
2,2,21.724645
1,1,21.730886
1,1,21.732927
4,4,21.743663
1,1,21.747025
1,1,21.753121
1,1,21.757687
1,1,21.761632
1,1,21.764601
1,1,21.775855
4,4,21.785189
2,2,21.791581
1,1,21.79455
2,2,21.812597
2,2,21.81682
1,1,21.820281
2,2,21.826583
2,2,21.835871
1,1,21.840792
2,2,21.846585
1,1,21.849653
3,3,21.860977
1,1,21.864745
6,6,21.874233
4,4,21.880851
1,1,21.8859
1,1,21.887962
8,8,21.941004
2,2,21.946124
1,1,21.953361
2,2,21.957458
1,1,21.960985
2,2,21.966212
1,1,21.971085
1,1,21.973988
2,2,21.976894
3,3,21.980898
1,1,21.984893
6,6,21.991615
1,1,21.993283
1,1,21.995095
2,2,22.004219
3,3,22.010419
1,1,22.012436
1,1,22.014161
2,2,22.021877
1,1,22.024129
2,2,22.026776
1,1,22.02991
1,1,22.033141
4,4,22.039163
2,2,22.042384
2,2,22.044627
1,1,22.049774
1,1,22.052478
2,2,22.05509
3,3,22.058243
2,2,22.065326
1,1,22.067461
3,3,22.073278
2,2,22.075736
1,1,22.080312
3,3,22.084578
1,1,22.086441
4,4,22.090653
2,2,22.094359
2,2,22.098072
4,4,22.102257
1,1,22.103762
2,2,22.107847
1,1,22.110575
1,1,22.11261
2,2,22.115203
3,3,22.120415
1,1,22.122977
1,1,22.125457
2,2,22.127892
2,2,22.132104
4,4,22.13678
1,1,22.13853
1,1,22.140547
1,1,22.143325
2,2,22.14698
2,2,22.150066
1,1,22.151727
3,3,22.156611
5,5,22.162811
1,1,22.164652
5,5,22.169891
1,1,22.173188
1,1,22.175565
1,1,22.177398
3,3,22.181147
1,1,22.184213
5,5,22.191097
1,1,22.193107
2,2,22.195628
2,2,22.202978
2,2,22.205304
2,2,22.20847
1,1,22.211088
2,2,22.21639
1,1,22.222304
1,1,22.224764
1,1,22.226677
2,2,22.231157
1,1,22.234472
2,2,22.237446
1,1,22.239131
3,3,22.245927
1,1,22.248202
9,9,22.256478
2,2,22.260288
1,1,22.263183
2,2,22.267241
2,2,22.271049
1,1,22.272647
1,1,22.275548
2,2,22.281709
4,4,22.285414
1,1,22.28705
1,1,22.291428
2,2,22.296198
1,1,22.29788
1,1,22.299876
1,1,22.302935
2,2,22.307105
1,1,22.308854
3,3,22.312321
2,2,22.316539
1,1,22.320064
1,1,22.321977
5,5,22.326589
1,1,22.331089
3,3,22.335338
1,1,22.337079
1,1,22.338616
2,2,22.342555
1,1,22.344764
6,6,22.351228
1,1,22.352932
1,1,22.355949
3,3,22.36077
2,2,22.363539
2,2,22.365783
1,1,22.368742
6,6,22.376247
6,6,22.382225
1,1,22.384134
1,1,22.387054
1,1,22.38928
4,4,22.393363
1,1,22.394961
1,1,22.398455
2,2,22.402988
1,1,22.404609
2,2,22.407244
4,4,22.415983
6,6,22.422671
1,1,22.424946
1,1,22.427312
1,1,22.430511
1,1,22.43317
1,1,22.434918
2,2,22.437044
1,1,22.440047
1,1,22.442463
2,2,22.445438
4,4,22.450675
1,1,22.454949
5,5,22.460519
1,1,22.462063
2,2,22.464615
1,1,22.468081
1,1,22.472718
2,2,22.475442
2,2,22.478171
2,2,22.485095
1,1,22.487234
1,1,22.489035
2,2,22.491534
2,2,22.496414
3,3,22.501016
2,2,22.503283
3,3,22.506085
3,3,22.513528
1,1,22.515538
2,2,22.517772
1,1,22.519935
1,1,22.523077
1,1,22.526545
3,3,22.530463
2,2,22.532705
3,3,22.5405
1,1,22.542186
1,1,22.543714
1,1,22.545179
2,2,22.553892
3,3,22.558778
3,3,22.562309
1,1,22.563769
2,2,22.574381
1,1,22.576269
2,2,22.581293
2,2,22.584208
1,1,22.587543
7,7,22.596033
1,1,22.597751
1,1,22.604659
2,2,22.615361
2,2,22.617878
1,1,22.620509
1,1,22.622975
2,2,22.628366
2,2,22.632908
1,1,22.634763
3,3,22.637571
1,1,22.642211
2,2,22.646607
1,1,22.64842
1,1,22.65047
2,2,22.656495
1,1,22.662513
1,1,22.665276
2,2,22.668061
1,1,22.674251
1,1,22.677172
2,2,22.680206
1,1,22.681971
3,3,22.688102
3,3,22.692568
3,3,22.695306
1,1,22.697137
1,1,22.700548
1,1,22.70293
1,1,22.704777
3,3,22.707789
10,10,22.720541
1,1,22.722063
3,3,22.725036
3,3,22.728328
2,2,22.732659
1,1,22.735232
2,2,22.737682
2,2,22.740357
1,1,22.743127
1,1,22.745666
1,1,22.747628
3,3,22.751079
6,6,22.759121
1,1,22.761134
2,2,22.763353
3,3,22.766356
1,1,22.770382
2,2,22.7745
2,2,22.77755
2,2,22.782516
1,1,22.786995
1,1,22.789271
1,1,22.791322
3,3,22.795003
1,1,22.798983
2,2,22.803029
2,2,22.80537
1,1,22.806891
4,4,22.818177
4,4,22.823895
1,1,22.826036
2,2,22.828862
2,2,22.833924
3,3,22.838191
4,4,22.846411
1,1,22.849107
1,1,22.85228
1,1,22.855268
1,1,22.857127
1,1,22.859829
2,2,22.864118
2,2,22.868331
1,1,22.872899
2,2,22.87533
5,5,22.884081
2,2,22.886944
1,1,22.889126
1,1,22.891345
2,2,22.908073
1,1,22.909931
1,1,22.911577
1,1,22.913097
1,1,22.916789
1,1,22.920698
2,2,22.923804
3,3,22.926734
7,7,22.937021
3,3,22.940991
1,1,22.942674
1,1,22.944975
2,2,22.951644
4,4,22.955821
8,8,22.963991
1,1,22.965783
4,4,22.971335
1,1,22.97335
1,1,22.975978
1,1,22.977578
2,2,22.981523
1,1,22.983947
1,1,22.986002
2,2,22.988617
1,1,22.991722
1,1,22.993893
1,1,22.99566
2,2,22.998349
1,1,23.002848
2,2,23.006049
3,3,23.009739
1,1,23.011896
1,1,23.016561
1,1,23.018826
2,2,23.021832
2,2,23.024147
5,5,23.218184
2,2,23.224339
1,1,23.226961
2,2,23.23202
4,4,23.250987
2,2,23.254422
1,1,23.256344
2,2,23.27739
1,1,23.283382
1,1,23.285181
3,3,23.291642
1,1,23.29383
4,4,23.302191
1,1,23.304875
4,4,23.312285
1,1,23.314268
1,1,23.322143
1,1,23.325117
4,4,23.330946
4,4,23.335994
1,1,23.341263
1,1,23.343085
1,1,23.344782
3,3,23.348697
1,1,23.373151
7,7,23.385596
1,1,23.393634
2,2,23.398158
1,1,23.409914
2,2,23.412658
3,3,23.419935
1,1,23.4233
3,3,23.429969
3,3,23.433872
1,1,23.435376
4,4,23.43995
2,2,23.445722
1,1,23.449956
3,3,23.456481
1,1,23.459147
1,1,23.463391
6,6,23.470764
1,1,23.47227
3,3,23.475306
2,2,23.482721
1,1,23.484518
1,1,23.486568
1,1,23.488039
1,1,23.491229
1,1,23.497067
3,3,23.50448
2,2,23.506817
4,4,23.513842
3,3,23.517429
3,3,23.521055
1,1,23.522857
2,2,23.52834
2,2,23.531872
1,1,23.533445
1,1,23.53491
1,1,23.537539
1,1,23.542504
1,1,23.545027
2,2,23.547677
1,1,23.551306
3,3,23.555558
3,3,23.558534
1,1,23.560589
4,4,23.567631
1,1,23.570374
1,1,23.572014
3,3,23.574814
2,2,23.581999
2,2,23.584292
3,3,23.587009
2,2,23.590292
1,1,23.593848
4,4,23.599049
1,1,23.601474
2,2,23.605197
2,2,23.616114
1,1,23.61778
1,1,23.62042
1,1,23.622122
2,2,23.627625
1,1,23.631504
1,1,23.633098
2,2,23.635562
2,2,23.641739
1,1,23.644312
1,1,23.646112
1,1,23.647922
1,1,23.651352
3,3,23.65725
5,5,23.664916
1,1,23.66709
1,1,23.671425
1,1,23.674391
4,4,23.678346
1,1,23.680628
4,4,23.687915
2,2,23.691291
1,1,23.692975
1,1,23.694627
1,1,23.697623
2,2,23.70297
1,1,23.704868
1,1,23.70632
2,2,23.711376
1,1,23.714315
1,1,23.716109
