,machine,reward,num_actions,max_RUL
315,316,27,27,99
316,317,-438,48,48
317,318,5,5,32
318,319,50,50,160
319,320,4,4,53
320,321,6,6,54
321,322,55,55,179
322,323,-458,28,28
323,324,2,2,42
324,325,22,22,165
325,326,22,22,164
326,327,46,46,179
327,328,-443,43,43
328,329,105,105,108
329,330,15,15,124
330,331,1,1,186
331,332,123,123,158
332,333,6,6,39
333,334,93,93,146
334,335,15,15,101
335,336,45,45,273
336,337,17,17,234
337,338,14,14,93
338,339,100,100,105
339,340,42,42,49
340,341,16,16,43
341,342,26,26,193
342,343,14,14,39
343,344,-438,48,48
344,345,4,4,264
345,346,28,28,79
346,347,34,34,86
347,348,28,28,161
348,349,-451,35,35
349,350,19,19,233
350,351,-423,63,63
351,352,21,21,248
352,353,116,116,138
353,354,46,46,130
354,355,43,43,149
355,356,8,8,58
356,357,22,22,198
357,358,10,10,97
358,359,84,84,122
359,360,6,6,232
360,361,5,5,123
361,362,24,24,233
362,363,20,20,67
363,364,11,11,137
364,365,29,29,63
365,366,64,64,157
366,367,136,136,191
367,368,21,21,237
368,369,42,42,130
369,370,7,7,102
370,371,-341,145,145
371,372,53,53,64
372,373,102,102,168
373,374,10,10,111
374,375,7,7,125
375,376,48,48,229
376,377,9,9,243
377,378,25,25,114
378,379,123,123,206
379,380,17,17,262
380,381,44,44,118
381,382,96,96,404
382,383,4,4,474
383,384,121,121,168
384,385,30,30,129
385,386,44,44,103
386,387,-417,69,69
387,388,11,11,88
388,389,59,59,332
389,390,32,32,151
390,391,36,36,119
391,392,32,32,179
392,393,26,26,104
393,394,106,106,143
394,395,53,53,89
395,396,5,5,46
396,397,30,30,132
397,398,134,134,309
398,399,28,28,312
399,400,10,10,100
400,401,84,84,86
401,402,56,56,132
402,403,7,7,145
403,404,-399,87,87
404,405,19,19,179
405,406,-431,55,55
406,407,19,19,178
407,408,147,147,210
408,409,16,16,146
409,410,7,7,117
410,411,-449,37,37
411,412,46,46,107
412,413,18,18,49
413,414,28,28,202
414,415,19,19,161
